query_id,video_id,question,question_type,gt_start,gt_end,reference_answer,annotator_id
q001,vid_001,What two properties must a quantity have to be a vector?,transcript_dependent,0.8,12.7,A vector has both magnitude and direction.,ann_01
q002,vid_001,Why is “5 miles per hour” by itself a scalar rather than a vector?,transcript_dependent,14.4,43.5,It gives only a magnitude (speed) and does not specify a direction.,ann_01
q003,vid_001,What does the length of the east-pointing arrow represent in the on-screen vector drawing?,visual_dependent,101.5,139.5,"The arrow's length represents the vector's magnitude, shown as 5 units or 5 miles per hour.",ann_01
q004,vid_001,Why are the two arrows drawn in different positions considered equivalent vectors?,multimodal,140.0,178.0,They have the same magnitude (length 5) and the same direction (due east); their starting positions do not matter.,ann_01
q005,vid_001,Which two entries are written in the column vector for motion of 5 units east?,visual_dependent,211.0,245.0,"The column vector is [5, 0]: 5 in the horizontal direction and 0 in the vertical direction.",ann_01
q006,vid_002,About how tall is the person and about how wide is the cell in the opening scale comparison?,multimodal,0.0,35.0,"The person is a little under 2 meters tall, while the cell is about 100 micrometers in diameter.",ann_01
q007,vid_002,What seasonal analogy is used to introduce the cell cycle?,transcript_dependent,64.0,94.0,"The cell cycle is compared to seasons: some phases emphasize growth, while another phase is when the cell divides.",ann_01
q008,vid_002,Which large section of the cycle diagram is labeled as the phase where cells spend most of their time?,visual_dependent,92.0,128.0,Interphase; it is primarily a period of cell growth rather than cell division.,ann_01
q009,vid_002,"What does the S in S phase stand for, and what happens during that phase?",transcript_dependent,194.0,226.0,"S stands for synthesis, specifically DNA synthesis; DNA is replicated during this phase.",ann_01
q010,vid_002,"Which branch leaves G1 on the diagram for cells that stop dividing, and what example cell is given?",multimodal,236.0,274.0,"The branch is G0 (G zero), and neurons in the brain are given as an example of cells that generally do not divide.",ann_01
q011,vid_003,Which three changing substances are pictured at the beginning of the lesson?,visual_dependent,36.0,57.0,"Melting ice, burning propane, and rusting iron are shown.",ann_01
q012,vid_003,What distinguishes a chemical change from a physical change?,transcript_dependent,15.0,38.0,"A physical change can alter properties without changing composition; a chemical change changes how atoms are connected or bonded, producing a new composition.",ann_01
q013,vid_003,Why is melting ice classified as a physical change?,multimodal,59.0,119.0,"Solid and liquid water remain H2O; each oxygen is still bonded to two hydrogens, so the composition does not change.",ann_01
q014,vid_003,What balanced products and coefficients are shown for propane combustion?,visual_dependent,151.0,190.0,One mole of C3H8 reacts with five moles of O2 to produce three moles of CO2 and four moles of H2O vapor.,ann_01
q015,vid_003,Why is rusting iron described as a chemical change?,transcript_dependent,231.0,278.0,"Iron and oxygen bonds are broken or rearranged and new ionic bonds form in solid iron oxide, visible as rust.",ann_01
q016,vid_004,What four interface regions are labeled when Blender first opens?,visual_dependent,3.0,18.0,"The scene or main view, the animation timeline, the outliner, and the properties area.",ann_01
q017,vid_004,"Which keyboard letters control scale, rotate, and move in Blender?",transcript_dependent,36.0,53.0,"S scales, R rotates, and G moves (grabs) an object.",ann_01
q018,vid_004,How does editing in Object Mode differ from editing in Edit Mode?,multimodal,65.0,91.0,"Object Mode manipulates whole objects; Edit Mode manipulates individual vertices, edges, or faces.",ann_01
q019,vid_004,What are the four viewport preview modes shown in the radial menu?,visual_dependent,134.0,164.0,"Solid, Material Preview, Wireframe, and Rendered Preview.",ann_01
q020,vid_004,Which primitive is added for the figure's head during the quick modeling exercise?,multimodal,239.0,258.0,An icosphere is added and moved upward to serve as the head.,ann_01
q021,vid_005,"What Windows setting does the presenter enable before launching OBS, and why?",transcript_dependent,14.0,29.0,Run as administrator is enabled in OBS properties to prevent possible issues.,ann_01
q022,vid_005,Which base canvas resolution and frame-rate preference are selected in the Auto-Configuration Wizard?,visual_dependent,27.0,40.0,The base canvas is set to 1080p and the frame-rate option is “Prefer 60 when possible.”,ann_01
q023,vid_005,How are scenes and sources related in the OBS interface?,multimodal,104.0,124.0,"Scenes act like folders, and each scene holds the sources shown in the Sources panel.",ann_01
q024,vid_005,"Which capture mode is chosen for the game source, and what transform is applied afterward?",visual_dependent,121.0,144.0,"Game Capture is set to capture a specific window, the game window is selected, and Transform > Fit to Screen is applied.",ann_01
q025,vid_005,How are Streamlabs alerts added to the OBS scene?,transcript_dependent,247.0,279.0,"Copy the Alert Box URL from Streamlabs, add a Browser source named alerts in OBS, and replace its URL with the copied link.",ann_01
q026,vid_006,What does “raster-based” mean in the description of GIMP?,transcript_dependent,4.0,28.0,"It means GIMP uses pixels to display and edit images, shapes, text, and other graphical elements.",ann_01
q027,vid_006,Which two download controls are shown for obtaining GIMP from its website?,visual_dependent,31.0,46.0,"Click “Download” on GIMP.org, then choose “Download GIMP directly” on the Downloads page.",ann_01
q028,vid_006,How does GIMP's layer system support complex compositions?,multimodal,68.0,91.0,It lets the user stack multiple images and layers on top of one another instead of working with only one image on one layer.,ann_01
q029,vid_006,What five broad tool functions are demonstrated from the toolbox?,visual_dependent,103.0,137.0,"Selection, painting, transformation, retouching, and other miscellaneous functions.",ann_01
q030,vid_006,Which native file extension preserves a GIMP composition and its layers?,transcript_dependent,236.0,258.0,GIMP's native .XCF format preserves the composition and its layers.,ann_01
q031,vid_007,About how many carbon atoms stacked together equal the thickness of one human hair?,transcript_dependent,0.0,13.0,"About 500,000 carbon atoms.",ann_01
q032,vid_007,"In the marble-scale animation, how large would a human fist become if one atom were marble-sized?",multimodal,12.0,30.0,The fist would be about the size of Earth.,ann_01
q033,vid_007,"Which three elementary particles are shown in the simplified atom, and which two form its core?",visual_dependent,64.0,91.0,"The atom contains protons, neutrons, and electrons; protons and neutrons bind together in the core.",ann_01
q034,vid_007,"How fast are electrons said to travel, and how quickly could that speed circle Earth?",transcript_dependent,98.0,120.0,"About 2,200 km/s, fast enough to circle Earth in just over 18 seconds.",ann_01
q035,vid_007,What size comparison is animated after the empty space is removed from the Empire State Building's atoms?,visual_dependent,150.0,169.0,The remaining atomic cores would occupy about the size of a grain of rice.,ann_01
q036,vid_008,"What percentage of an average adult human is water, and what percentage is a newborn baby?",transcript_dependent,0.0,31.0,"An average adult is about 55–60% water, while a newborn baby is about 75% water.",ann_01
q037,vid_008,"Which organ-and-food water comparisons are displayed for the brain and heart, lungs, and bones?",visual_dependent,48.0,79.0,"The brain and heart are almost three-quarters water (like a banana), lungs are about 83% (like an apple), and bones are about 31% water.",ann_01
q038,vid_008,How does antidiuretic hormone help the body respond to low water levels?,multimodal,94.0,126.0,"It acts on the kidneys to create aquaporin channels, allowing the blood to absorb and retain more water and producing concentrated, dark urine.",ann_01
q039,vid_008,Why can severe over-hydration become dangerous?,transcript_dependent,145.0,184.0,"Sodium becomes diluted and cells swell; if the kidneys cannot keep up, water intoxication can cause headache, vomiting, seizures, or death.",ann_01
q040,vid_008,What daily water-intake ranges are shown for men and women?,visual_dependent,206.0,238.0,"About 2.5–3.7 liters for men and 2.0–2.7 liters for women, adjusted for health, activity, age, and heat.",ann_01
q041,vid_009,What two long-term goals distinguish the Artemis program from simply returning to the Moon?,transcript_dependent,0.0,31.0,Artemis aims to create a long-term human presence on and around the Moon and prepare for more complex human missions to Mars.,ann_01
q042,vid_009,What three labeled sections make up the Orion spacecraft?,visual_dependent,35.0,65.0,"The crew module, service module, and launch abort system.",ann_01
q043,vid_009,Which major components are labeled in the Space Launch System stack?,visual_dependent,63.0,91.0,"A cargo hold, Exploration Upper Stage, massive core stage, and two extended solid rocket boosters.",ann_01
q044,vid_009,What happens to the rocket at about two minutes and eight minutes after ignition?,multimodal,96.0,121.0,At about two minutes the solid rocket boosters are released; at about eight minutes the depleted core stage separates and the upper stage places Orion into Earth parking orbit.,ann_01
q045,vid_009,What three stages of travel are shown for the lunar lander system?,visual_dependent,226.0,264.0,"It descends from Gateway's halo orbit to low lunar orbit, descends to the lunar surface, and later launches from the surface back to Gateway.",ann_01
