experiment_id,run_id,config_id,video_id,chunk_id,start_seconds,end_seconds,duration_seconds,transcript,frame_path,text_vector_dimension,image_vector_dimension,asr_provider,asr_model,frame_cache_state
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,0,0.000000,5.000000,5.000000,"A vector is something that has both magnitude and direction, magnitude and direction.",frames/vid_001/chunk_0000_3ba6e9092939.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,1,4.000000,9.000000,5.000000,"A vector is something that has both magnitude and direction, magnitude and direction.",frames/vid_001/chunk_0001_ffcb6ce95e5f.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,2,8.000000,13.000000,5.000000,"A vector is something that has both magnitude and direction, magnitude and direction. So let's think of an example of what wouldn't and what would be a vector.",frames/vid_001/chunk_0002_e8de61d400f9.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,3,12.000000,17.000000,5.000000,"So let's think of an example of what wouldn't and what would be a vector. So if someone tells you that something is moving at 5 miles per hour, this information by",frames/vid_001/chunk_0003_368da0f423bf.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,4,16.000000,21.000000,5.000000,"So if someone tells you that something is moving at 5 miles per hour, this information by itself is not a vector quantity.",frames/vid_001/chunk_0004_ccaac739c4f0.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,5,20.000000,25.000000,5.000000,itself is not a vector quantity. It's only specifying a magnitude.,frames/vid_001/chunk_0005_bf24cc6e28e5.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,6,24.000000,29.000000,5.000000,It's only specifying a magnitude. We don't know what direction this thing is moving 5 miles per hour in.,frames/vid_001/chunk_0006_5e3b528a6058.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,7,28.000000,33.000000,5.000000,"We don't know what direction this thing is moving 5 miles per hour in. So this right over here, which is often referred to as a speed, this is a speed, is not",frames/vid_001/chunk_0007_1928361cfe43.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,8,32.000000,37.000000,5.000000,"So this right over here, which is often referred to as a speed, this is a speed, is not a vector quantity just by itself.",frames/vid_001/chunk_0008_214ff674da41.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,9,36.000000,41.000000,5.000000,a vector quantity just by itself. This is considered to be a scalar quantity.,frames/vid_001/chunk_0009_a632a6472f8e.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,10,40.000000,45.000000,5.000000,"This is considered to be a scalar quantity. If we want it to be a vector, we would also have to specify the direction.",frames/vid_001/chunk_0010_c3c4119f7f26.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,11,44.000000,49.000000,5.000000,"If we want it to be a vector, we would also have to specify the direction. So for example, someone might say it's moving 5 miles per hour east.",frames/vid_001/chunk_0011_98592583288d.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,12,48.000000,53.000000,5.000000,"So for example, someone might say it's moving 5 miles per hour east. So let's say it's moving 5 miles per hour due east.",frames/vid_001/chunk_0012_96e5bca1170c.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,13,52.000000,57.000000,5.000000,"So let's say it's moving 5 miles per hour due east. So now this combined 5 miles per hour due east, this is a vector quantity and now we wouldn't",frames/vid_001/chunk_0013_b7fb5da757f7.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,14,56.000000,61.000000,5.000000,"So now this combined 5 miles per hour due east, this is a vector quantity and now we wouldn't call it speed anymore.",frames/vid_001/chunk_0014_edccbf51a6c1.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,15,60.000000,65.000000,5.000000,"So now this combined 5 miles per hour due east, this is a vector quantity and now we wouldn't call it speed anymore. We would call it velocity. So velocity is a vector.",frames/vid_001/chunk_0015_9e330ed51671.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,16,64.000000,69.000000,5.000000,We would call it velocity. So velocity is a vector. We're specifying the magnitude 5 miles per hour and the direction east.,frames/vid_001/chunk_0016_ce034dbf7092.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,17,68.000000,73.000000,5.000000,We're specifying the magnitude 5 miles per hour and the direction east. But how can we actually visualize this?,frames/vid_001/chunk_0017_e905a06dbf15.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,18,72.000000,77.000000,5.000000,We're specifying the magnitude 5 miles per hour and the direction east. But how can we actually visualize this? So let's say we're operating in two dimensions and what's neat about linear algebra is obviously,frames/vid_001/chunk_0018_6e06b6df28ae.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,19,76.000000,81.000000,5.000000,So let's say we're operating in two dimensions and what's neat about linear algebra is obviously a lot of what applies in two dimensions will extend to three and then even four or five,frames/vid_001/chunk_0019_5439108e2a09.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,20,80.000000,85.000000,5.000000,So let's say we're operating in two dimensions and what's neat about linear algebra is obviously a lot of what applies in two dimensions will extend to three and then even four or five six as many dimensions as we want.,frames/vid_001/chunk_0020_283ebe6baf5e.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,21,84.000000,89.000000,5.000000,"a lot of what applies in two dimensions will extend to three and then even four or five six as many dimensions as we want. Our brains have trouble visualizing beyond three, but what's neat is we can mathematically",frames/vid_001/chunk_0021_cf139505c451.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,22,88.000000,93.000000,5.000000,"Our brains have trouble visualizing beyond three, but what's neat is we can mathematically deal with beyond three using linear algebra.",frames/vid_001/chunk_0022_a760a1b1524b.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,23,92.000000,97.000000,5.000000,deal with beyond three using linear algebra. And we'll see that in future videos. But let's just go back to our straight traditional two-dimensional vector right over here.,frames/vid_001/chunk_0023_085b33840355.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,24,96.000000,101.000000,5.000000,But let's just go back to our straight traditional two-dimensional vector right over here.,frames/vid_001/chunk_0024_bf36f8b9e4ce.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,25,100.000000,105.000000,5.000000,But let's just go back to our straight traditional two-dimensional vector right over here. So one way we could represent it as an arrow that is five units long.,frames/vid_001/chunk_0025_8416acbf80b5.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,26,104.000000,109.000000,5.000000,So one way we could represent it as an arrow that is five units long. We'll assume that each of our units are unit here is miles per hour.,frames/vid_001/chunk_0026_c22a1d6616e6.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,27,108.000000,113.000000,5.000000,We'll assume that each of our units are unit here is miles per hour. And that's pointed to the right where we'll say the right is east.,frames/vid_001/chunk_0027_05e9b78f38b2.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,28,112.000000,117.000000,5.000000,"And that's pointed to the right where we'll say the right is east. So for example, I could start an arrow right over here and I could make its length 5.",frames/vid_001/chunk_0028_25ea4e7f1162.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,29,116.000000,121.000000,5.000000,"So for example, I could start an arrow right over here and I could make its length 5. The length of the arrow specifies the magnitude.",frames/vid_001/chunk_0029_e1efb40c3b3a.jpg,512,512,WhisperLocalASR,base,warm
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,vid_001,30,120.000000,125.000000,5.000000,"The length of the arrow specifies the magnitude. So 1, 2, 3, 4, 5.",frames/vid_001/chunk_0030_734ec5d69be6.jpg,512,512,WhisperLocalASR,base,warm
